,cluster,clusters,Murder,Assault,UrbanPop
0,1,2,0.7469879518072289,0.6541095890410958,0.4406779661016949
1,1,2,0.5542168674698795,0.7465753424657534,0.2711864406779661
2,2,1,0.4397590361445783,0.8527397260273972,0.8135593220338984
3,1,2,0.4819277108433735,0.4965753424657534,0.3050847457627119
4,2,1,0.4939759036144578,0.791095890410959,1.0
5,2,1,0.4277108433734941,0.5445205479452054,0.7796610169491526
6,0,0,0.1506024096385542,0.2226027397260274,0.7627118644067796
7,0,0,0.3072289156626506,0.660958904109589,0.6779661016949152
8,2,1,0.8795180722891567,0.9931506849315068,0.8135593220338984
9,1,2,1.0,0.5684931506849316,0.4745762711864407
10,0,0,0.2710843373493976,0.0034246575342465,0.864406779661017
11,0,0,0.108433734939759,0.2568493150684932,0.3728813559322034
12,2,1,0.5783132530120483,0.6986301369863014,0.864406779661017
13,0,0,0.3855421686746988,0.2328767123287671,0.559322033898305
14,0,0,0.0843373493975903,0.0376712328767123,0.423728813559322
15,0,0,0.3132530120481928,0.2397260273972602,0.576271186440678
16,0,0,0.536144578313253,0.2191780821917808,0.3389830508474576
17,1,2,0.8795180722891567,0.6986301369863014,0.576271186440678
18,0,0,0.0783132530120482,0.1301369863013698,0.3220338983050847
19,2,1,0.6325301204819278,0.8732876712328768,0.5932203389830508
20,0,0,0.2168674698795181,0.3561643835616438,0.8983050847457628
21,2,1,0.6807228915662651,0.7191780821917808,0.711864406779661
22,0,0,0.1144578313253012,0.0924657534246575,0.576271186440678
23,1,2,0.921686746987952,0.7328767123287672,0.2033898305084746
24,2,1,0.4939759036144578,0.4554794520547945,0.6440677966101694
25,0,0,0.3132530120481928,0.2191780821917808,0.3559322033898305
26,0,0,0.2108433734939759,0.1952054794520548,0.5084745762711864
27,2,1,0.6867469879518072,0.708904109589041,0.8305084745762712
28,0,0,0.0783132530120482,0.0410958904109589,0.4067796610169492
29,0,0,0.3975903614457832,0.3904109589041096,0.9661016949152542
30,2,1,0.6385542168674699,0.821917808219178,0.6440677966101694
31,2,1,0.6204819277108434,0.7157534246575342,0.9152542372881356
32,1,2,0.7349397590361446,1.0,0.2203389830508474
33,0,0,0.0,0.0,0.2033898305084746
34,0,0,0.391566265060241,0.2568493150684932,0.7288135593220338
35,0,0,0.3493975903614458,0.363013698630137,0.6101694915254238
36,0,0,0.246987951807229,0.3904109589041096,0.5932203389830508
37,0,0,0.3313253012048193,0.2089041095890411,0.6779661016949152
38,0,0,0.1566265060240964,0.4417808219178082,0.9322033898305084
39,1,2,0.819277108433735,0.8013698630136986,0.2711864406779661
40,0,0,0.1807228915662651,0.1404109589041096,0.2203389830508474
41,1,2,0.7469879518072289,0.4897260273972603,0.4576271186440678
42,2,1,0.7168674698795181,0.5342465753424658,0.8135593220338984
43,0,0,0.1445783132530121,0.2568493150684932,0.8135593220338984
44,0,0,0.0843373493975903,0.0102739726027397,0.0
45,0,0,0.463855421686747,0.3801369863013699,0.5254237288135594
46,0,0,0.1927710843373494,0.3424657534246575,0.6949152542372882
47,0,0,0.2951807228915663,0.1232876712328767,0.1186440677966101
48,0,0,0.108433734939759,0.0273972602739726,0.576271186440678
49,0,0,0.3614457831325302,0.3972602739726027,0.4745762711864407
